gene_symbol,adrenal gland,bone marrow,brain,breast,colon,heart,kidney,liver,lung,muscle,ovary,palatine tonsil,pancreas,placenta,prostate,retina,salivary gland,skin,small intestine,spleen,testis,thymus gland,thyroid gland,trachea,uterus
HPCA,3.6886,5.8202,52.1474,4.3831,4.4391,6.0382,2.9282,3.0529,2.6639,143.6463,4.2475,6.0154,2.1688,3.3806,3.5828,7.0878,6.9785,4.4246,3.5784,3.5235,2.8388,3.7902,5.2818,3.7708,4.9663
SIGLEC11,64.7657,2.3868,2.4636,2.5038,2.4489,1.3559,2.4126,4.3495,5.8996,1.6304,173.1749,0.9543,4.7915,5.8808,6.0363,1.781,3.7805,2.241,2.1818,70.2262,8.1856,1.2492,3.882,1.5502,1.6204
TUBG1,155.8168,25.9543,94.8848,64.2087,107.4377,78.2414,101.8594,140.5466,83.9266,149.5306,63.9199,126.6424,146.416,141.765,94.9181,121.0475,105.6622,125.3466,145.1937,65.1674,2191.0975,158.5745,58.612,105.7578,107.6783
PREB,206.7301,101.1804,115.3475,116.6662,110.7318,128.4835,119.0773,195.9755,140.5071,525.5027,186.8022,200.3951,269.7804,258.6004,182.2838,163.0875,401.058,144.0344,187.1624,184.5725,219.4436,198.0531,127.2015,188.6424,268.2022
SLC35A2,25.72,21.1125,20.23375,19.7888,32.4461,30.1513,24.3327,17.8408,16.0101,32.9998,25.9252,20.8066,49.0951,19.4612,36.1741,20.2333,26.8711,34.9636,28.7626,17.7259,14.0353,24.1996,27.108,26.6316,27.5779
FAM135B,5.1637,0.729,4.3392,0.9563,0.5219,0.9356,1.7534,0.9196,0.7648,1.2706,0.9318,0.6771,1.6523,0.9226,0.9473,1.7429,1.2031,0.9902,1.4005,1.6224,9.2946,1.9165,0.6848,0.9961,1.0312
RPL13,2292.0742,2453.0276,1201.3061,2119.7598,1577.0201,1069.5241,1290.2532,1533.5914,2008.7721,1885.9517,2769.7148,2623.0727,2196.2288,1635.8179,2321.6239,2605.2216,1793.9997,2649.5797,2408.8386,2617.5903,2147.7804,2466.5163,1652.066,2346.2517,2621.2963
TSPAN3,51.3382,17.9171,120.76815,108.4323,185.3633,36.6801,79.0097,30.5958,165.4438,133.2354,65.6163,100.7765,133.1659,55.0849,55.6401,181.9072,94.3595,81.1888,118.0171,66.3856,81.0784,61.7608,95.6072,177.9658,95.9453
WRAP73,18.5001,14.5817,10.0213,8.9808,7.2413,7.3343,8.4372,9.0114,14.3259,11.794,11.2823,18.4929,12.5057,16.3825,8.2479,12.9487,12.9829,6.5964,14.4643,22.7916,18.1164,22.2099,12.8334,14.8017,17.9799
MLIP,2.8114,0.9765,19.51635,1.7968,0.888,278.5516,1.1292,11.2683,2.0726,156.0356,0.8209,6.8658,1.8609,0.9729,1.7355,8.3637,1.8494,4.8805,1.0385,1.3219,2.869,1.9132,6.0603,2.7248,0.9564
COL23A1,26.1894,7.0604,26.48945,9.3267,11.3458,50.4301,13.9776,16.054,8.6718,21.7361,7.4224,12.8952,11.4146,11.9514,10.3998,10.0966,24.3589,15.5714,25.1474,7.2663,6.376,6.815,83.3481,14.8833,12.9717
GRASP,3.2594,10.9946,2.88815,3.0552,2.2692,3.7609,3.081,0.6607,13.2945,1.1911,6.0037,2.3514,1.4665,3.0093,2.3217,5.2272,1.1528,2.8821,3.3277,8.9028,0.8202,3.3676,2.3646,2.4941,6.8942
GNAI3,8.7714,21.781,11.4326,18.9643,18.6689,6.7314,15.0405,19.6489,23.9187,4.6582,17.8517,19.4315,11.8125,12.5064,18.0637,9.7869,7.8942,29.9858,18.1782,26.7827,8.8716,15.7869,16.9536,7.6866,17.559
ENTPD8,1.5656,1.6131,2.25145,1.6271,5.2603,1.4035,1.6731,5.2986,0.9993,15.3138,1.3738,4.5968,2.2155,1.2464,1.5928,1.0821,2.1298,1.2908,1.7752,0.8668,1.0005,0.7935,1.5388,4.2178,1.3026
AZGP1,5.9614,1.0443,22.8864,690.343,6.2832,54.3698,208.8858,1279.0403,19.3383,3.3281,2.0747,193.5137,661.4903,1.0207,1434.1751,30.9318,1958.8195,255.9305,27.7227,0.9986,48.4999,7.0805,148.9984,1292.2603,1.4484
FASTKD3,18.008,14.5296,19.998,23.5649,29.7744,17.5843,42.834,38.3581,21.7512,26.2256,19.7485,19.5216,18.6037,7.1929,18.4947,12.9656,10.5056,17.1128,19.7975,23.9929,12.1871,18.3823,22.6874,7.1991,8.0741
CAPN15,3.185,4.2932,3.4379,1.6637,3.2229,2.7364,3.3469,5.161,1.699,4.9102,2.6436,3.052,61.9095,4.3044,2.1798,2.5431,2.6688,2.0685,2.5047,2.1428,4.1443,2.1985,4.6263,2.3518,3.5531
CYP26C1,1.5236,1.2547,1.4883,1.1812,1.9086,0.9462,1.0526,0.7875,1.3219,6.2619,0.9465,0.8468,6.9723,1.8578,2.3415,1.3848,1.4298,0.9699,1.238,0.8412,0.9699,1.2469,1.4955,0.6609,0.8786
PLA2G7,4.7846,63.6115,11.49235,18.0413,3.3076,1.4197,1.582,26.9101,38.9761,6.3638,16.1544,15.8171,2.9247,53.0141,33.7239,7.3794,2.6673,11.1072,8.2321,70.0555,1.0965,19.3661,73.7723,2.4779,3.1349
BCORL1,2.702,1.441,1.4543,2.6057,1.2935,1.3208,1.2027,1.0454,1.8957,2.5386,2.8017,1.7114,1.0263,7.1583,1.5426,1.9481,1.8987,1.7667,1.0714,1.9564,3.7054,1.3881,1.8299,1.5136,3.0453
ANO9,16.2963,17.2855,19.1513,10.3762,47.2868,35.2608,16.7374,14.4913,8.5671,22.3062,10.6755,17.5053,109.6821,23.865,32.1382,13.7714,119.7126,20.6054,25.9419,10.8372,8.8443,15.6449,11.9266,131.6776,12.5215
CSAG1,2.5891,6.8036,5.4533,4.124,2.4543,2.3958,3.6944,2.8629,3.6244,5.866,3.1136,5.5008,3.3752,8.3097,2.1918,1.9338,4.5245,1.8816,2.114,10.6002,15.7112,5.256,3.517,4.0023,2.8798
TAMM41,15.9199,24.0552,12.3542,16.1773,14.1709,15.1754,10.2571,11.8293,13.9413,19.2574,30.9706,20.8918,16.844,8.0119,11.4488,15.3008,13.035,12.1649,17.1669,19.2895,14.6529,21.2592,13.5794,13.9652,20.6639
PGGHG,43.7617,200.9746,62.61315,98.5898,51.0357,118.7181,136.8123,85.1971,90.2691,63.603,14.8135,110.1066,468.15,21.5725,35.8589,36.1383,38.2929,34.3505,142.6408,98.8176,13.713,130.364,35.9457,55.3871,36.9502
KIF2B,1.2771,0.4252,1.25855,1.2342,0.7099,0.8585,1.5131,0.7888,0.8795,0.9792,0.857,0.6337,1.1236,1.3348,0.8911,0.7587,1.1625,0.9795,1.0708,1.1072,198.4198,0.8967,1.0984,0.7821,0.7733
MYOM1,12.2423,4.3419,9.95905,5.824,8.5859,927.5814,3.1524,60.1537,3.0571,536.3423,7.2017,20.4881,35.6225,5.4625,13.2012,19.5056,4.4549,3.5126,9.4675,2.281,10.2635,1.7874,8.538,6.0288,9.9093
PSAP,1674.2697,1655.796,2009.70335,534.1535,539.5504,1793.4737,1250.3955,1161.2759,1561.8028,750.8103,771.8458,612.1956,647.1829,2292.7257,1046.8236,1897.2447,1153.3755,845.3238,685.762,1284.5831,1130.9286,900.892,1110.5087,897.5986,791.661
TNFSF9,0.7781,5.7266,4.3354,2.8573,1.0322,1.2221,0.6929,2.6033,2.8115,1.745,2.0493,3.387,0.8967,1.0409,1.1973,1.5367,1.3072,2.6415,0.8105,3.3508,4.8704,0.7321,0.642,5.7989,2.1168
MDGA1,6.0162,4.5134,2.80435,1.7162,2.4447,3.5933,1.8989,1.4125,2.1514,2.776,5.4846,3.232,1.1777,1.7865,2.1715,5.9307,2.5468,2.4563,2.0973,3.1701,1.8894,3.0826,1.3322,2.7214,4.6525
