gene_symbol,adrenal gland,blood,bone marrow,brain,cecum,ganglia,heart,kidney,liver,lung,lymph nodes,muscle,ovary,palatine tonsil,pancreas,placenta,prostate,salivary gland,skin,testis,thymus gland,thyroid gland,tongue,trachea,uterus
ARMC8,28.6577,46.0143,39.3641,41.4492263157895,38.0167,37.8607,34.2888,33.8669,26.3231,24.246,44.8125,31.0354,42.2252,45.3381,36.7698,26.5572,44.8516,43.0957,31.9598,30.3891,36.4894,41.7764,39.4488,32.8616,37.121
ADGRL1,40.32875,25.2641,36.5821,152.109321052632,66.9653,62.269875,50.41805,45.8109,38.0164,63.2064,31.7168,42.87545,48.3121,37.1766,45.88925,39.6555,73.1114,33.5595,41.289,44.6115,51.7919,96.1665,46.87,32.2261,49.2659
SIVA1,40.53835,69.8778,76.2956,41.0568421052632,52.0113,44.06085,93.2573,50.4776,237.6692,146.9028,57.4022,76.39215,67.0482,46.5229,42.079,70.4326,112.0851,43.1394,43.8731,85.1560666666667,194.9099,102.2242,47.8222,45.1614,55.0119
ELF4,13.0162,170.2073,48.796,8.80693684210526,7.6467,11.382775,20.7823,9.9334,14.6261,45.2329,36.5003,24.46555,7.0835,25.8503,18.55545,62.1258,29.1023,10.6322,14.2299,12.0309666666667,66.588,13.8739,10.6671,12.2405,15.6246
CEP57,12.3314,54.5275,16.8699,20.1786473684211,27.4591,27.315125,18.8833,6.6071,7.8832,12.0856,42.8312,24.09905,28.6009,47.2348,35.82325,8.0581,17.5231,48.7935,16.1448,41.2653,24.2432,35.0603,19.6995,21.9642,35.6913
LRRC14,10.56995,14.4665,12.8973,16.653152631579,25.6013,28.482975,14.1274,6.1877,8.4545,20.3644,15.796,12.32205,19.1117,19.2026,10.9592,8.7022,17.3445,13.9609,15.0703,18.932,9.3259,12.2519,31.3267,6.4189,10.1971
MED1,21.06155,12.32,20.7391,19.4027263157895,21.3993,20.857675,16.13555,10.5474,13.7026,22.2879,25.3526,23.9784,14.2016,27.973,24.36215,25.8853,44.7006,16.4962,25.9858,15.6231666666667,43.1139,18.9326,21.4191,18.1955,30.5795
RCAN2,58.805,34.3452,31.5797,324.393652631579,101.4575,120.77365,81.3208,80.0336,33.6572,53.2152,44.4451,35.19785,71.0193,57.2294,105.9378,22.5175,53.0971,74.7033,106.1245,47.3085,26.4695,82.8815,123.3909,69.8458,77.111
EPHA2,54.6026,36.7886,12.7248,33.1399789473684,11.7335,42.320275,56.45995,43.7861,104.0345,88.7989,76.9314,46.55225,9.6594,72.5981,46.9378,78.5653,41.6479,52.7847,66.2676,34.2985666666667,48.3079,89.0557,129.9317,86.2808,43.8915
GCDH,59.18855,49.9192,45.2267,50.9795789473684,38.9642,34.9305,77.4698,79.5991,297.1046,60.9651,44.2267,35.9805,39.6724,48.4426,51.04115,37.9429,41.707,30.6943,42.1986,30.5253666666667,69.0098,56.6472,42.9006,43.1912,34.9451
