gene_symbol,adipose tissue,adrenal gland,brain,breast,colon,heart,kidney,liver,lung,lymph nodes,muscle,ovary,prostate,testis,thyroid gland
TRIM38,13.366,22.7161,2.0539,9.7162,8.8855,5.295,28.807,7.8869,20.0666,21.5409,9.2939,9.6041,15.2578,5.9336,11.1657
PEX7,8.0196,9.3998,18.485,10.7958,7.4046,26.4748,14.4035,13.1449,9.03,3.7463,4.647,8.9181,10.6804,16.3174,19.3539
ZBTB24,8.0196,15.6663,10.2695,7.557,5.9237,5.295,8.4021,5.258,5.0167,11.2388,13.9409,8.9181,9.1547,9.6421,14.8876
FIG4,21.3856,16.4496,40.0509,17.2732,22.2138,13.2374,20.405,10.5159,13.0433,15.9216,27.8818,21.2661,19.0722,20.7676,14.8876
PERP,89.5521,15.6663,9.2425,124.1515,143.6496,140.3166,49.212,257.6401,111.3697,26.2238,16.2644,30.1842,150.2892,23.7344,64.0169
ARFGEF3,4.0098,3.9166,45.1856,3.2387,4.4428,2.6475,4.8012,0.2629,10.0333,1.8731,0.2323,2.058,6.1031,1.4834,2.2331
SLC16A10,6.683,0.7833,0.9243,1.0796,2.9618,1.5885,7.2018,5.258,3.01,0.9366,41.8226,0.686,0.3052,2.9668,4.4663
HECA,97.5717,57.9651,36.9701,50.7402,65.1606,121.7842,18.0044,21.0318,76.2531,118.9435,113.8505,27.4402,35.8558,34.8599,36.4747
ADGRG6,5.3464,3.1333,0.9243,3.2387,20.7329,5.295,8.4021,102.5302,44.1465,6.5559,2.3235,2.058,19.8351,5.9336,3.7219
PHACTR2,57.4738,16.4496,8.2156,31.3078,20.7329,37.0648,13.2032,13.1449,37.1232,18.7313,9.2939,17.1501,12.9691,18.5425,29.0309
EPM2A,6.683,8.6164,14.3773,17.2732,22.2138,50.3022,7.2018,10.5159,4.0133,4.6828,132.4384,8.9181,19.8351,7.417,16.3764
SLC39A7,149.6991,91.6476,57.509,110.117,85.8935,71.482,148.8364,236.6082,117.3896,77.7347,48.7931,87.8086,60.2683,65.2696,105.7022
CCR6,0,1.5666,0,0.108,0,0,0,0.2629,0.1003,0.9366,0,0.0686,0,0,0
UNC93A,0,0,0,0,0.1481,0,0.8402,1.8403,0,0,0,0.2744,0.0763,0.2225,0
SLC22A2,0,0.3917,0,0,0.1481,0,21.6053,0.2629,0,0.0937,0.4647,0,0.1526,0.1483,0.4466
PHF1,42.7712,43.0822,29.7814,23.7507,51.8323,42.3597,28.807,21.0318,85.2831,94.5928,104.5566,70.6585,78.5776,51.1773,56.573
CUTA,82.8691,112.0137,130.4222,118.7536,136.2449,68.8345,102.0249,107.7882,88.2931,109.5778,81.3218,113.8768,106.0416,86.0372,119.1011
PACRG,0.2673,0.47,6.1617,1.0796,0.7405,10.5899,4.8012,2.629,16.0533,0.4683,0.4647,8.2321,2.2887,20.7676,1.4888
QKI,73.5129,28.1993,276.2486,82.0479,62.1988,187.9713,34.8085,34.1767,65.2165,41.2088,209.1132,30.1842,33.5671,37.085,37.2191
C6orf118,0.1337,0,2.0539,0.108,0,0,0,0,16.0533,0,0,5.488,0,10.3838,0.5211
PDE10A,4.0098,1.5666,4.1078,2.1592,4.4428,5.295,6.0015,0.7887,2.0067,2.8097,0.697,4.802,2.2887,4.4502,5.2107
MDFI,4.0098,6.2665,1.0269,18.3528,1.4809,0.5295,1.0803,0.2629,23.0766,6.5559,0.2323,14.4061,6.866,6.6753,1.4888
TFEB,6.683,20.3661,8.2156,7.557,8.8855,10.5899,7.2018,2.3661,9.03,17.7947,65.0574,5.488,8.3918,2.9668,9.677
SMOC2,94.8985,35.2491,9.2425,35.6261,50.3514,42.3597,10.8026,5.258,38.1266,82.4175,48.7931,137.2009,145.7119,218.8014,19.3539
CCND3,34.7516,56.3985,20.5389,20.512,26.6566,29.1223,20.405,13.1449,60.1998,88.0369,9.2939,10.2901,23.6496,11.8672,37.9635
BYSL,16.0392,18.0162,7.1886,10.7958,13.3283,13.2374,10.8026,28.9188,12.04,9.3656,88.2922,15.7781,10.6804,14.834,9.677
FAM120B,21.3856,18.7995,24.6467,18.3528,11.8474,21.1799,18.0044,15.7739,10.0333,11.2388,27.8818,24.6962,17.5465,16.3174,22.3315
TBP,13.366,21.9328,15.4042,16.1937,11.8474,18.5324,20.405,21.0318,6.02,15.9216,16.2644,14.4061,13.732,45.9854,17.8652
GUCA1B,2.6732,7.0498,6.1617,3.2387,1.1847,1.3237,0.8402,1.0516,2.0067,2.8097,6.9704,4.116,1.5258,1.4834,1.4888
